Brnd_Name,Gnrc_Name,RxCUI,ATC_Code,ATC_Class,ATC_L1,MESH_Class,Match_Type
Atacand,Candesartan Cilexetil,215458.0,C09CA,"Angiotensin II receptor blockers (ARBs), plain",Cardiovascular system,Hypertension,exact
Atacand HCT,Candesartan/Hydrochlorothiazid,284662.0,C09CA,"Angiotensin II receptor blockers (ARBs), plain",Cardiovascular system,Edema,exact
Atazanavir Sulfate,Atazanavir Sulfate,343047.0,J05AR,"Antivirals for treatment of HIV infections, combinations",Anti-infectives for systemic use,Acquired Immunodeficiency Syndrome,exact
Atelvia,Risedronate Sodium,1086104.0,,,,"Paget Disease, Extramammary",approx
Atenolol,Atenolol,1202.0,C07AB,"Beta blocking agents, selective",Cardiovascular system,Hypertension,exact
Atenolol-Chlorthalidone,Atenolol/Chlorthalidone,151195.0,C07AB,"Beta blocking agents, selective",Cardiovascular system,Edema,exact
Ativan*,Lorazepam,202479.0,N05BA,Benzodiazepine derivatives,Nervous system,Vomiting,exact
Atomoxetine HCl,Atomoxetine HCl,353103.0,N06BA,Centrally acting sympathomimetics,Nervous system,Attention Deficit Disorder with Hyperactivity,exact
Atorvaliq,Atorvastatin Calcium,2631862.0,C10AA,HMG CoA reductase inhibitors,Cardiovascular system,Hypercholesterolemia,exact
Atorvastatin Calcium,Atorvastatin Calcium,83366.0,C10AA,HMG CoA reductase inhibitors,Cardiovascular system,Hypercholesterolemia,exact
Atovaquone,Atovaquone,60212.0,P01BB,Biguanides,Antiparasitic products,"Pneumonia, Pneumocystis",exact
Atovaquone-Proguanil HCl,Atovaquone/Proguanil HCl,284623.0,P01BB,Biguanides,Antiparasitic products,"Malaria, Falciparum",exact
Atralin,Tretinoin,728470.0,D10AD,Retinoids for topical use in acne,Dermatologicals,Acne Vulgaris,exact
Atripla,Efavirenz/Emtricit/Tenofovr Df,643067.0,J05AR,"Antivirals for treatment of HIV infections, combinations",Anti-infectives for systemic use,HIV Infections,exact
Atropine Sulfate,Atropine Sulfate/PF,1223.0,A03BA,"Belladonna alkaloids, tertiary amines",Alimentary tract and metabolism,Uveitis,exact
Atropine Sulfate*,Atropine Sulfate,1223.0,A03BA,"Belladonna alkaloids, tertiary amines",Alimentary tract and metabolism,Uveitis,exact
Atrovent HFA,Ipratropium Bromide,606539.0,,,,Bronchitis,approx
Aubagio,Teriflunomide,1310526.0,L04AK,Dihydroorotate dehydrogenase (DHODH) inhibitors,Antineoplastic and immunomodulating agents,"Multiple Sclerosis, Relapsing-Remitting",exact
Aubra Eq,Levonorgestrel/Ethin.Estradiol,2058426.0,,,,,approx
Augmentin,Amoxicillin/Potassium Clav,151392.0,J01CA,Penicillins with extended spectrum,Anti-infectives for systemic use,Sinusitis,exact
Aurovela,Norethindrone Ac-Eth Estradiol,2170422.0,,,,,approx
Aurovela 24 Fe,Norethindrone-E.Estradiol-Iron,1927957.0,B03AA,"Iron bivalent, oral preparations",Blood and blood forming organs,Menorrhagia,approx
Aurovela Fe,Norethindrone-E.Estradiol-Iron,2167841.0,,,,,approx
Auryxia,Ferric Citrate,1596018.0,V03AE,Drugs for treatment of hyperkalemia and hyperphosphatemia,Various,"Anemia, Iron-Deficiency",exact
Austedo,Deutetrabenazine,1876911.0,N07XX,Other nervous system drugs,Nervous system,Chorea,exact
Austedo XR,Deutetrabenazine,2640932.0,,,,Chorea,approx
Austedo XR Titration Kt(Wk1-4),Deutetrabenazine,2668914.0,,,,Chorea,approx
Autoshield Duo Pen Needle,"Pen Needle,Dual Safety,Diabetc",2703776.0,,,,,approx
Autoshield Pen Needle,"Pen Needle, Diabetic, Safety",2706036.0,,,,,approx
Auvelity,Dextromethorphan HBr/Bupropion,2611261.0,N06AX,Other antidepressants,Nervous system,Cough,exact
Auvi-Q,Epinephrine,1305264.0,A01AD,Other agents for local oral treatment,Alimentary tract and metabolism,Anaphylaxis,exact
Avalide,Irbesartan/Hydrochlorothiazide,261454.0,C03AA,"Thiazides, plain",Cardiovascular system,Edema,exact
Avapro,Irbesartan,153668.0,C09CA,"Angiotensin II receptor blockers (ARBs), plain",Cardiovascular system,Hypertension,exact
Avastin,Bevacizumab,337521.0,L01FG,VEGF/VEGFR (Vascular Endothelial Growth Factor / -Receptor) inhibitors,Antineoplastic and immunomodulating agents,Glioblastoma,exact
Aveed,Testosterone Undecanoate,1490662.0,G03BA,3-oxoandrosten (4) derivatives,Genito-urinary system and sex hormones,Hypogonadism,exact
Aviane,Levonorgestrel/Ethin.Estradiol,284663.0,,,,,approx
Avodart,Dutasteride,352453.0,G04CB,Testosterone-5-alpha reductase inhibitors,Genito-urinary system and sex hormones,Prostatic Hyperplasia,exact
Avonex,Interferon Beta-1a,153326.0,L03AB,Interferons,Antineoplastic and immunomodulating agents,Multiple Sclerosis,exact
Avonex Pen,Interferon Beta-1a,1666329.0,,,,Multiple Sclerosis,approx
Avsola,Infliximab-Axxq,2266526.0,L04AB,Tumor necrosis factor alpha (TNF-alpha) inhibitors,Antineoplastic and immunomodulating agents,Crohn Disease,exact
Avycaz,Ceftazidime/Avibactam,1603841.0,J01DD,Third-generation cephalosporins,Anti-infectives for systemic use,Fever,exact
Aygestin,Norethindrone Acetate,215496.0,G03AC,Progestogens,Genito-urinary system and sex hormones,Menorrhagia,exact
Ayvakit,Avapritinib,2272113.0,L01EX,Other protein kinase inhibitors,Antineoplastic and immunomodulating agents,Gastrointestinal Stromal Tumors,exact
Azacitidine,Azacitidine,1251.0,L01BC,Pyrimidine analogues,Antineoplastic and immunomodulating agents,"Anemia, Refractory",exact
Azactam,Aztreonam,202561.0,J01DF,Monobactams,Anti-infectives for systemic use,Sepsis,exact
Azasan,Azathioprine,404872.0,L04AX,Other immunosuppressants,Antineoplastic and immunomodulating agents,Crohn Disease,exact
Azasite,Azithromycin,706869.0,J01FA,Macrolides,Anti-infectives for systemic use,Urethritis,exact
Azathioprine,Azathioprine,1256.0,L04AX,Other immunosuppressants,Antineoplastic and immunomodulating agents,Crohn Disease,exact
Azelaic Acid,Azelaic Acid,18602.0,D10AX,Other anti-acne preparations for topical use,Dermatologicals,Rosacea,exact
Azelastine HCl*,Azelastine HCl,18603.0,R01AC,"Antiallergic agents, excl. corticosteroids",Respiratory system,"Rhinitis, Vasomotor",exact
Azelastine-Fluticasone,Azelastine/Fluticasone,1291859.0,R01AC,"Antiallergic agents, excl. corticosteroids",Respiratory system,"Rhinitis, Vasomotor",exact
Azelex,Azelaic Acid,215499.0,D10AX,Other anti-acne preparations for topical use,Dermatologicals,Rosacea,exact
Azesco,Prenatal 147/Iron/Folic Acid,2178179.0,,,,,approx
Azilect,Rasagiline Mesylate,635985.0,N04BD,Monoamine oxidase B inhibitors,Nervous system,Parkinson Disease,exact
Azithromycin*,Azithromycin,1298839.0,J01FA,Macrolides,Anti-infectives for systemic use,Urethritis,exact
Azopt,Brinzolamide,194882.0,S01EC,Carbonic anhydrase inhibitors,Sensory organs,"Glaucoma, Open-Angle",exact
Azor,Amlodipine Bes/Olmesartan Med,730862.0,C09CA,"Angiotensin II receptor blockers (ARBs), plain",Cardiovascular system,Hypertension,exact
Azstarys,Serdexmethylphen/Dexmethylphen,2562202.0,N06BA,Centrally acting sympathomimetics,Nervous system,Attention Deficit Disorder with Hyperactivity,exact
Aztreonam,Aztreonam,1272.0,J01DF,Monobactams,Anti-infectives for systemic use,Sepsis,exact
Azulfidine,Sulfasalazine,202770.0,A07EC,Aminosalicylic acid and similar agents,Alimentary tract and metabolism,"Arthritis, Juvenile",exact
Azurette,Desog-E.Estradiol/E.Estradiol,2539938.0,,,,,approx
B-D Single Use Alcohol Swab,Alcohol Antiseptic Pads,2634160.0,,,,,approx
BCG (Tice Strain),BCG Live,221050.0,,,,Urinary Bladder Neoplasms,exact
Bacitracin*,Bacitracin,1291.0,D06AX,Other antibiotics for topical use,Dermatologicals,Empyema,exact
Bacitracin-Polymyxin,Bacitracin/Polymyxin B Sulfate,215539.0,,,,,approx
Baclofen*,Baclofen,1292.0,M03BX,Other centrally acting agents,Musculo-skeletal system,Hiccup,exact
Bactrim,Sulfamethoxazole/Trimethoprim,151399.0,J01EC,Intermediate-acting sulfonamides,Anti-infectives for systemic use,Bronchitis,exact
Bactrim Ds,Sulfamethoxazole/Trimethoprim,346206.0,,,,Bronchitis,approx
Bafiertam,Monomethyl Fumarate,2393588.0,L04AX,Other immunosuppressants,Antineoplastic and immunomodulating agents,,exact
Balcoltra,Levonorgest/Eth.Estradiol/Iron,2046798.0,,,,,approx
Balsalazide Disodium,Balsalazide Disodium,153718.0,A07EC,Aminosalicylic acid and similar agents,Alimentary tract and metabolism,"Colitis, Ulcerative",exact
Balversa,Erdafitinib,2123132.0,L01EN,Fibroblast growth factor receptor (FGFR) tyrosine kinase inhibitors,Antineoplastic and immunomodulating agents,"Carcinoma, Transitional Cell",exact
Balziva,Norethindrone-Ethin. Estradiol,668381.0,,,,,approx
Band-Aid Gauze Pads,Gauze Bandage,2591070.0,,,,,approx
Banzel,Rufinamide,824296.0,N03AF,Carboxamide derivatives,Nervous system,Seizures,exact
Baqsimi,Glucagon,2180667.0,H04AA,Glycogenolytic hormones,Systemic hormonal preparations,Anaphylaxis,exact
Baraclude,Entecavir,588846.0,J05AF,Nucleoside and nucleotide reverse transcriptase inhibitors,Anti-infectives for systemic use,"Hepatitis B, Chronic",exact
Basaglar Kwikpen U-100,"Insulin Glargine,Hum.Rec.Anlog",1736613.0,,,,,approx
Basaglar Tempo Pen U-100,"Insulin Glargine,Hum.Rec.Anlog",2623261.0,,,,,approx
Bavencio,Avelumab,1875543.0,L01FF,PD-1/PD-L1 (Programmed cell death protein 1/death ligand 1) inhibitors,Antineoplastic and immunomodulating agents,"Carcinoma, Merkel Cell",exact
Baxdela*,Delafloxacin Meglumine,1927668.0,J01MA,Fluoroquinolones,Anti-infectives for systemic use,Bacterial Infections,exact
Bd Insulin Syringe,"Syringe And Needle,Insulin,1ml",632746.0,,,,,approx
Bd Insulin Syringe Ult-Fine II,"Syring-Needl,Disp,Insul,0.3 Ml",902204.0,,,,,approx
Bd Insulin Syringe Ultra-Fine,"Syring-Needl,Disp,Insul,0.3 Ml",1371262.0,,,,,approx
Beconase Aq,Beclomethasone Dipropionate,215587.0,,,,Inflammation,approx
Belbuca,Buprenorphine HCl,1716058.0,N02AE,Oripavine derivatives,Nervous system,Pain,exact
Belsomra,Suvorexant,1547105.0,N05CJ,Orexin receptor antagonists,Nervous system,Sleep Initiation and Maintenance Disorders,exact
Benazepril HCl,Benazepril HCl,18867.0,C09AA,"ACE inhibitors, plain",Cardiovascular system,Hypertension,exact
Benazepril-Hydrochlorothiazide,Benazepril/Hydrochlorothiazide,214287.0,C09AA,"ACE inhibitors, plain",Cardiovascular system,Edema,exact
Bendamustine HCl,Bendamustine HCl,1114693.0,L01AA,Nitrogen mustard analogues,Antineoplastic and immunomodulating agents,"Leukemia, Lymphoid",exact
Bendeka,Bendamustine HCl,1726098.0,L01AA,Nitrogen mustard analogues,Antineoplastic and immunomodulating agents,"Leukemia, Lymphoid",exact
Benicar,Olmesartan Medoxomil,327503.0,C09CA,"Angiotensin II receptor blockers (ARBs), plain",Cardiovascular system,Hypertension,exact
Benicar HCT,Olmesartan/Hydrochlorothiazide,404880.0,C09CA,"Angiotensin II receptor blockers (ARBs), plain",Cardiovascular system,Edema,exact
Benlysta*,Belimumab,1092441.0,L04AG,Monoclonal antibodies,Antineoplastic and immunomodulating agents,"Lupus Erythematosus, Systemic",exact
Bentyl,Dicyclomine HCl,203018.0,A03AA,"Synthetic anticholinergics, esters with tertiary amino group",Alimentary tract and metabolism,Irritable Bowel Syndrome,exact
Benzonatate,Benzonatate,18993.0,R05DB,Other cough suppressants,Respiratory system,Cough,exact
Benztropine Mesylate*,Benztropine Mesylate,1424.0,N04AC,Ethers of tropine or tropine derivatives,Nervous system,Parkinson Disease,exact
Beovu,Brolucizumab-Dbll,2204921.0,S01LA,Antineovascularisation agents,Sensory organs,Wet Macular Degeneration,exact
Bepotastine Besilate,Bepotastine Besilate,658552.0,,,,"Conjunctivitis, Allergic",exact
Bepreve,Bepotastine Besilate,863039.0,,,,"Conjunctivitis, Allergic",exact
Berinert,C1 Esterase Inhibitor,867378.0,B06AC,Drugs used in hereditary angioedema,Blood and blood forming organs,"Angioedemas, Hereditary",exact
Besivance,Besifloxacin HCl,850306.0,S01AE,Fluoroquinolones,Sensory organs,"Conjunctivitis, Bacterial",exact
Besponsa,Inotuzumab Ozogamicin,1942955.0,L01FB,CD22 (Clusters of Differentiation 22) inhibitors,Antineoplastic and immunomodulating agents,Precursor Cell Lymphoblastic Leukemia-Lymphoma,exact
Besremi,Ropeginterferon Alfa-2b-Njft,2587066.0,L03AB,Interferons,Antineoplastic and immunomodulating agents,Polycythemia Vera,exact
Betadine,Povidone-Iodine,202750.0,D08AG,Iodine products,Dermatologicals,Burns,exact
Betaine Anhydrous,Betaine,350374.0,A16AA,Amino acids and derivatives,Alimentary tract and metabolism,Homocystinuria,exact
Betamethasone Diprop Augmented,Betamethasone Dipropionate,215664.0,A07EA,Corticosteroids acting locally,Alimentary tract and metabolism,Psoriasis,exact
Betamethasone Dipropionate,Betamethasone Dipropionate,19254.0,A07EA,Corticosteroids acting locally,Alimentary tract and metabolism,Psoriasis,exact
Betamethasone Sod Phos-Acetate,"Betamethasone Acetate,Sod Phos",814394.0,,,,,approx
Betamethasone Valerate,Betamethasone Valerate,1514.0,A07EA,Corticosteroids acting locally,Alimentary tract and metabolism,Psoriasis,exact
Betapace,Sotalol HCl,224909.0,C07AA,"Beta blocking agents, non-selective",Cardiovascular system,Atrial Flutter,exact
Betapace Af,Sotalol HCl,261464.0,,,,Atrial Flutter,approx
Betaseron,Interferon Beta-1b,82828.0,L03AB,Interferons,Antineoplastic and immunomodulating agents,Multiple Sclerosis,exact
Betaxolol HCl*,Betaxolol HCl,142144.0,C07AB,"Beta blocking agents, selective",Cardiovascular system,Hypertension,exact
Bethanechol Chloride,Bethanechol Chloride,19257.0,N07AB,Choline esters,Nervous system,Urinary Retention,exact
Bethkis,Tobramycin,1314764.0,J01GB,Other aminoglycosides,Anti-infectives for systemic use,Sepsis,exact
Betimol,Timolol,215672.0,C07AA,"Beta blocking agents, non-selective",Cardiovascular system,Hypertension,exact
Betoptic S,Betaxolol HCl,215673.0,C07AB,"Beta blocking agents, selective",Cardiovascular system,Hypertension,exact
Bevespi Aerosphere,Glycopyrrolate/Formoterol Fum,1796748.0,,,,,approx
Bexarotene*,Bexarotene,233272.0,L01XF,Retinoids for cancer treatment,Antineoplastic and immunomodulating agents,"Lymphoma, T-Cell, Cutaneous",exact
Bexsero,"Meningococcal B Vaccine,4-Comp",1601403.0,,,,,exact
Beyaz,Drospir/Eth Estra/Levomefol Ca,1043143.0,,,,,approx
Bicalutamide,Bicalutamide,83008.0,L02BB,Anti-androgens,Antineoplastic and immunomodulating agents,Prostatic Neoplasms,exact
Bicillin C-R,Pen G Benz/Pen G Procaine,1376502.0,,,,,approx
Bicillin L-A,Penicillin G Benzathine,215674.0,J01CE,Beta-lactamase sensitive penicillins,Anti-infectives for systemic use,Sepsis,exact
Bidil,Isosorbide Dinit/Hydralazine,303838.0,C02DB,Hydrazinophthalazine derivatives,Cardiovascular system,Cyanosis,exact
Bijuva,Estradiol/Progesterone,2108925.0,G03CA,"Natural and semisynthetic estrogens, plain",Genito-urinary system and sex hormones,Amenorrhea,exact
Biktarvy,Bictegrav/Emtricit/Tenofov Ala,1999668.0,J05AF,Nucleoside and nucleotide reverse transcriptase inhibitors,Anti-infectives for systemic use,HIV Infections,exact
Bimatoprost*,Bimatoprost,283810.0,S01EE,Prostaglandin analogues,Sensory organs,"Glaucoma, Open-Angle",exact
Bimzelx,Bimekizumab-Bkzx,2668088.0,L04AC,Interleukin inhibitors,Antineoplastic and immunomodulating agents,Psoriasis,exact
Bimzelx Autoinjector,Bimekizumab-Bkzx,2668101.0,L04AC,Interleukin inhibitors,Antineoplastic and immunomodulating agents,Psoriasis,exact
Binosto,Alendronate Sodium,1248078.0,M05BA,Bisphosphonates,Musculo-skeletal system,"Paget Disease, Extramammary",exact
Bismuth-Metronidazole-Tetracyc,Bismuth/Metronid/Tetracycline,725122.0,,,,,approx
Bisoprolol Fumarate,Bisoprolol Fumarate,142146.0,C07AB,"Beta blocking agents, selective",Cardiovascular system,Hypertension,exact
Bisoprolol-Hydrochlorothiazide,Bisoprolol/Hydrochlorothiazide,214317.0,C07AB,"Beta blocking agents, selective",Cardiovascular system,Edema,exact
Bivigam,Immun Glob G(IgG)/Gly/IgA Ov50,1364424.0,,,,Immunologic Deficiency Syndromes,exact
Blincyto,Blinatumomab,1597263.0,L01FX,Other monoclonal antibodies and antibody drug conjugates,Antineoplastic and immunomodulating agents,"Leukemia, Lymphoid",exact
Blisovi 24 Fe,Norethindrone-E.Estradiol-Iron,1722680.0,B03AA,"Iron bivalent, oral preparations",Blood and blood forming organs,Menorrhagia,approx
Blisovi Fe,Norethindrone-E.Estradiol-Iron,1790686.0,,,,,approx
Boniva*,Ibandronate Sodium,541684.0,M05BA,Bisphosphonates,Musculo-skeletal system,"Osteoporosis, Postmenopausal",exact
Bonjesta,Doxylamine Succinate/Vit B6,1999652.0,R06AA,Aminoalkyl ethers,Respiratory system,Seizures,exact
Boostrix Tdap,"Diphth,Pertuss(Acell),Tet Vac",731513.0,,,,,approx
Bortezomib*,Bortezomib,358258.0,L01XG,Proteasome inhibitors,Antineoplastic and immunomodulating agents,Multiple Myeloma,exact
Bosentan,Bosentan,498193.0,,,,"Hypertension, Pulmonary",exact
Bosulif,Bosutinib,1307625.0,L01EA,BCR-ABL tyrosine kinase inhibitors,Antineoplastic and immunomodulating agents,"Leukemia, Myelogenous, Chronic, BCR-ABL Positive",exact
Botox,Onabotulinumtoxina,203279.0,,,,Dystonia,exact
Braftovi,Encorafenib,2049112.0,L01EC,B-Raf serine-threonine kinase (BRAF) inhibitors,Antineoplastic and immunomodulating agents,Melanoma,exact
Breo Ellipta,Fluticasone/Vilanterol,1424890.0,,,,"Sleep Apnea, Obstructive",approx
Breyna,Budesonide/Formoterol Fumarate,2597666.0,A07EA,Corticosteroids acting locally,Alimentary tract and metabolism,Asthma,exact
Breztri Aerosphere,Budesonide/Glycopyr/Formoterol,2395467.0,,,,,approx
Briellyn,Norethindrone-Ethin. Estradiol,1115025.0,,,,,approx
Brilinta,Ticagrelor,1116636.0,B01AC,Platelet aggregation inhibitors excl. heparin,Blood and blood forming organs,,exact
Brimonidine Tartrate*,Brimonidine Tartrate,39171.0,D11AX,Other dermatologicals,Dermatologicals,"Glaucoma, Open-Angle",exact
Brimonidine Tartrate-Timolol,Brimonidine Tartrate/Timolol,1701280.0,,,,,approx
Brinzolamide,Brinzolamide,194881.0,S01EC,Carbonic anhydrase inhibitors,Sensory organs,"Glaucoma, Open-Angle",exact
Briumvi,Ublituximab-Xiiy,2626355.0,L04AG,Monoclonal antibodies,Antineoplastic and immunomodulating agents,Demyelinating Diseases,exact
Briviact*,Brivaracetam,1739750.0,N03AX,Other antiepileptics,Nervous system,Seizures,exact
Brixadi,Buprenorphine,2639023.0,N02AE,Oripavine derivatives,Nervous system,Pain,exact
Bromfenac Sodium,Bromfenac Sodium,47364.0,S01BC,"Antiinflammatory agents, non-steroids",Sensory organs,Eye Pain,exact
Bromocriptine Mesylate,Bromocriptine Mesylate,142426.0,G02CB,Prolactine inhibitors,Genito-urinary system and sex hormones,Adenoma,exact
Brompheniramine-Pseudoephed-DM,Brompheniramine/Pseudoephed/DM,690808.0,R06AB,Substituted alkylamines,Respiratory system,Cough,exact
Bromsite,Bromfenac Sodium,1790142.0,S01BC,"Antiinflammatory agents, non-steroids",Sensory organs,Eye Pain,exact
Bronchitol,Mannitol,2475836.0,A06AD,Osmotically acting laxatives,Alimentary tract and metabolism,Anuria,exact
Brovana,Arformoterol Tartrate,669390.0,,,,Bronchial Spasm,exact
Brukinsa,Zanubrutinib,2262441.0,L01EL,Bruton's tyrosine kinase (BTK) inhibitors,Antineoplastic and immunomodulating agents,"Lymphoma, Mantle-Cell",exact
Bryhali,Halobetasol Propionate,2101711.0,D07AC,"Corticosteroids, potent (group III)",Dermatologicals,Pruritus,exact
Bss,Balanced Salt Irrig Soln No.2,620464.0,,,,,approx
Budesonide Dr,Budesonide,19831.0,A07EA,Corticosteroids acting locally,Alimentary tract and metabolism,Inflammatory Bowel Diseases,approx
Budesonide EC,Budesonide,1244214.0,A07EA,Corticosteroids acting locally,Alimentary tract and metabolism,Inflammatory Bowel Diseases,approx
Budesonide ER,Budesonide,2269304.0,A07EA,Corticosteroids acting locally,Alimentary tract and metabolism,Inflammatory Bowel Diseases,approx
Budesonide*,Budesonide,19831.0,A07EA,Corticosteroids acting locally,Alimentary tract and metabolism,Inflammatory Bowel Diseases,exact
Budesonide-Formoterol Fumarate,Budesonide/Formoterol Fumarate,389132.0,A07EA,Corticosteroids acting locally,Alimentary tract and metabolism,Asthma,approx
Bumetanide*,Bumetanide,1808.0,C03CA,"Sulfonamides, plain",Cardiovascular system,Edema,exact
